NewsPaper Name,Location / Area,Dist. Frequency
Crescent-News,"Defiance, OH",
Crescent-News – Columbia Bureau,"Columbus, OH",Daily
Crested Butte News,"Crested Butte, CO",
Creston News-Advertiser,"Creston, IA",Daily
Crier Newspapers,"Roswell, GA",Weekly
Crimson White,"Tuscaloosa, AL",Daily
Criterion,"Indianapolis, IN",Weekly
Criterion News Advertiser,"Metuchen, NJ",Weekly
Crookston Daily Times,"Crookston, MN",
Crosby Journal,"Crosby, ND",
Crossroads [Victoria Advocate],"Victoria, TX",Daily
Crosswinds,"Albuquerque, NM",Weekly
Croton/Ossining Pennysaver,"Yorktown Heights, NY",Weekly
Crowley Post-Signal,"Crowley, LA",Daily
Crown Point Shopper,"Crown Point, IN",Weekly
Cue [Milwaukee Journal Sentinel],"Milwaukee, WI",Daily
Cuisine [Sarasota Herald-Tribune],"Sarasota, FL",Daily
Cullman Times,"Cullman, AL",
Cultural [Draugas],"Chicago, IL",Daily
Culver City Star,"Los Angeles, CA",Weekly
Cumberland Reminder,"Millville, NJ",Weekly
Cumberland Times-News,"Cumberland, MD",
Cumberland/Salem Guide,"Bridgeton, NJ",Weekly
Current-Argus,"Carlsbad, NM",
Currents [Daily News],"Palatka, FL",Daily
Currents [Recorder],"Amsterdam, NY",Daily
Currents [Sarasota Herald-Tribune],"Sarasota, FL",Daily
Cushing Daily Citizen,"Cushing, OK",Daily
Cuyahoga Falls News – Press,"Stow, OH",Weekly
C-Ville Weekly,"Charlottesville, VA",
Dahlonega Nugget,"Dahlonega, GA",
Daily & Sunday Review,"Towanda, PA",
Daily Advance,"Elizabeth City, NC",
Daily Advertiser,"Lafayette, LA",
Daily Advocate,"Greenville, OH",Daily
Daily American,"Somerset, PA",
Daily American,"West Frankfort, IL",Daily
Daily American Republic,"Poplar Bluff, MO",
Daily Ardmoreite,"Ardmore, OK",
Daily Astorian,"Astoria, OR",
Daily Athenaeum,"Morgantown, WV",Daily
Daily Aztec,"San Diego, CA",Daily
Daily Banner,"Cambridge, MD",Daily
Daily Barometer,"Corvallis, OR",Daily
Daily Beacon,"Knoxville, TN",Daily
Daily Breeze,"Torrance, CA",
Daily Breeze,"Cape Coral, FL",
Daily Bruin,"Los Angeles, CA",Daily
Daily Californian,"Berkeley, CA",Daily
Daily Camera,"Boulder, CO",
Daily Campus,"Storrs Mansfield, CT",Daily
Daily Campus,"Dallas, TX",Daily
Daily Capital News,"Jefferson City, MO",Daily
Daily Cardinal,"Madison, WI",Daily
Daily Challenge,"Brooklyn, NY",
Daily Chief-Union,"Upper Sandusky, OH",
Daily Chronicle,"Dekalb, IL",
Daily Citizen,"Beaver Dam, WI",
Daily Citizen,"Dalton, GA",
Daily Citizen,"Searcy, AR",Daily
Daily Clay County Advocate-Press,"Flora, IL",Daily
Daily Clintonian,"Clinton, IN",
Daily Collegian,"Fresno, CA",Daily
Daily Collegian,"State College, PA",Daily
Daily Comet,"Thibodaux, LA",
Daily Commerce,"Los Angeles, CA",Daily
Daily Commercial,"Leesburg, FL",Daily
Daily Commercial Record,"Dallas, TX",Daily
Daily Corinthian,"Corinth, MS",
Daily Cougar,"Houston, TX",Daily
Daily Courier,"Forest City, NC",
Daily Courier,"Connellsville, PA",
Daily Courier,"Prescott, AZ",
Daily Courier-Observer,"Massena, NY",
Daily Courier-Observer – Massena Edition,"Massena, NY",Daily
Daily Courier-Observer – Potsdam Edition,"Potsdam, NY",Daily
Daily Court Reporter,"Dayton, OH",Daily
Daily Democrat,"Woodland, CA",
Daily Democrat,"Fort Madison, IA",
Daily Dispatch,"Douglas, AZ",
Daily Dunklin Democrat,"Kennett, MO",
Daily Eastern News,"Charleston, IL",Daily
Daily Egyptian,"Carbondale, IL",Daily
Daily Events,"Springfield, MO",Daily
Daily Evergreen,"Pullman, WA",Daily
Daily Forty-Niner,"Long Beach, CA",Daily
Daily Free Press,"Boston, MA",Daily
Daily Freeman,"Kingston, NY",
Daily Freeman,"Rhinebeck, NY",
Daily Freeman – Greene County Bureau,"Catskill, NY",Daily
Daily Freeman – Northern Dutchess Bureau,"Rhinebeck, NY",Daily
Daily Freeman-Journal,"Webster City, IA",
Daily Gate City,"Keokuk, IA",
Daily Gazette,"Schenectady, NY",
Daily Gazette,"Albany, NY",
Daily Gazette,"Saratoga Springs, NY",
Daily Gazette,"Clifton Park, NY",
Daily Gazette,"Mechanicville, NY",
Daily Gazette,"Sterling, IL",Daily
Daily Gazette – Amsterdam Bureau,"Amsterdam, NY",Daily
Daily Gazette – Ballston Spa Bureau,"Ballston Spa, NY",Daily
Daily Gazette – Capitol Bureau,"Albany, NY",Daily
Daily Gazette – Clifton Park Bureau,"Clifton Park, NY",Daily
Daily Gazette – Gloversville Bureau,"Gloversville, NY",Daily
Daily Gazette – Saratoga Springs Bureau,"Saratoga Springs, NY",Daily
Daily Globe,"Ironwood, MI",
Daily Globe,"Shelby, OH",Daily
Daily Globe,"Worthington, MN",Daily
Daily Guide,"Saint Robert, MO",Daily
Daily Hamodia,"Brooklyn, NY",Daily
Daily Hampshire Gazette,"Northampton, MA",
Daily Helmsman,"Memphis, TN",Daily
Daily Herald,"Arlington Heights, IL",
Daily Herald,"Provo, UT",
Daily Herald,"Columbia, TN",
Daily Herald,"Springfield, IL",
Daily Herald,"Tyrone, PA",
Daily Herald,"Buffalo Grove, IL",
Daily Herald,"Roanoke Rapids, NC",Daily
Daily Herald,"Mcdonough, GA",Daily
Daily Herald – Algonquin/Lake In The Hills/Fox River Grove Edition,"Elgin, IL",Daily
Daily Herald – Barrington Edition,"Libertyville, IL",Daily
Daily Herald – Batavia Edition,"Saint Charles, IL",Daily
Daily Herald – Buffalo Grove/Cook Edition,"Libertyville, IL",Daily
Daily Herald – Buffalo Grove/Long Grove Edition,"Libertyville, IL",Daily
Daily Herald – Carpentersville/Dundee/Sleepy Hollow/Gilberts/Hampshire Edition,"Elgin, IL",Daily
Daily Herald – Cary/Fox River Grove Edition,"Elgin, IL",Daily
Daily Herald – DuPage Edition,"Lisle, IL",Daily
Daily Herald – Elgin/South Elgin Edition,"Elgin, IL",Daily
Daily Herald – Geneva Edition,"Saint Charles, IL",Daily
Daily Herald – Gurnee/Grayslake Edition,"Libertyville, IL",Daily
Daily Herald – Huntley Edition,"Elgin, IL",Daily
Daily Herald – Lake Zurich/Wauconda Edition,"Libertyville, IL",Daily
Daily Herald – Libertyville/Mundelein/Vernon Hills/Lincolnshire Edition,"Libertyville, IL",Daily
Daily Herald – Naperville & Lisle Edition,"Lisle, IL",Daily
Daily Herald – Round Lake/Fox Lake/Ingleside Edition,"Libertyville, IL",Daily
Daily Herald – St. Charles/Wayne/Elburn Edition,"Saint Charles, IL",Daily
Daily Herald-DuPage County,"Arlington Heights, IL",
Daily Herald-DuPage County,"Lisle, IL",
Daily Herald-Lake County,"Arlington Heights, IL",
Daily Herald-Lake County,"Libertyville, IL",
Daily Herald-McHenry,"Arlington Heights, IL",
Daily Herald-McHenry,"Elgin, IL",
Daily Herald-North Fox Valley,"Arlington Heights, IL",
Daily Herald-North Fox Valley,"Saint Charles, IL",
Daily Home,"Talladega, AL",
Daily Iberian,"New Iberia, LA",
Daily Illini,"Champaign, IL",Daily
Daily Independent,"Ridgecrest, CA",
Daily Independent,"Ashland, KY",Daily
Daily Inter Lake,"Kalispell, MT",
Daily Iowan,"Iowa City, IA",Daily
Daily Iowegian,"Centerville, IA",Daily
Daily Item,"Sunbury, PA",
Daily Item,"Lynn, MA",
Daily Jefferson County Union,"Fort Atkinson, WI",
Daily Jeffersonian,"Cambridge, OH",
Daily Jeffersonian – Columbus Bureau,"Columbus, OH",Daily
Daily Journal,"Vineland, NJ",
Daily Journal,"Kankakee, IL",
Daily Journal,"Franklin, IN",
Daily Journal,"San Mateo, CA",
Daily Journal,"Fergus Falls, MN",
Daily Journal,"Park Hills, MO",
Daily Journal,"International Falls, MN",Daily
Daily Journal – Bourbonnais Bureau,"Bourbonnais, IL",Daily
Daily Journal – Washington Bureau,"Washington, DC",Daily
Daily Journal – Will County Bureau,"Peotone, IL",Daily
Daily Kent Stater,"Kent, OH",Daily
Daily Leader,"Pontiac, IL",Daily
Daily Leader,"Brookhaven, MS",Daily
Daily Ledger,"Canton, IL",
Daily Legal News,"Youngstown, OH",Daily
Daily Legal News,"Shreveport, LA",Daily
Daily Local News,"West Chester, PA",
Daily Local News – Southern Chester Bureau,"Kennett Square, PA",Daily
Daily Local News Inc.,"West Chester, PA",
Daily Mail,"Hagerstown, MD",
Daily Mail,"Catskill, NY",Daily
Daily Messenger,"Canandaigua, NY",
Daily Midway Driller,"Taft, CA",Daily
Daily Mining Gazette,"Houghton, MI",
Daily Mississippian,"University, MS",Daily
Daily Mountain Eagle,"Jasper, AL",
Daily Nebraskan,"Lincoln, NE",Daily
Daily News,"Newburyport, MA",
Daily News,"New York, NY",
Daily News,"Brooklyn, NY",
Daily News,"Jacksonville, NC",
Daily News,"Lebanon, PA",
Daily News,"West Bend, WI",
Daily News,"Forest Hills, NY",
Daily News,"Bogalusa, LA",
Daily News,"Iron Mountain, MI",
Daily News,"McKeesport, PA",
Daily News,"Middlesboro, KY",
Daily News,"Bowling Green, KY",
Daily News,"Washington, DC",
Daily News,"Eden, NC",
Daily News,"Longview, WA",
Daily News,"Batavia, NY",Daily
Daily News,"Robinson, IL",Daily
Daily News,"Watkins Glen, NY",Daily
Daily News,"Woodland Hills, CA",Daily
Daily News – Albany Bureau,"Albany, NY",Daily
Daily News – Antelope Valley Section [Daily News],"Woodland Hills, CA",Daily
Daily News – Bronx,"Bronx, NY",Daily
Daily News – City Hall Bureau,"New York, NY",Daily
Daily News – Garden City Bureau,"Garden City, NY",Daily
Daily News – Los Angeles Bureau,"Los Angeles, CA",Daily
Daily News – Staten Island Bureau,"Staten Island, NY",Daily
Daily News – Valencia Bureau,"Valencia, CA",Daily
Daily News Extra,"Poteau, OK",Daily
Daily News Journal,"Murfreesboro, TN",
Daily News Leader,"Staunton, VA",
Daily News of Newburyport,"Newburyport, MA",Daily
Daily News Sun,"Sun City, AZ",Daily
Daily News Sun – Sun City West Bureau,"Sun City, AZ",Daily
Daily News Transcript,"Norwood, MA",
Daily News Transcript,"Dedham, MA",Daily
Daily News Tribune,"Waltham, MA",
Daily News Tribune,"La Salle, IL",Daily
Daily News-Record,"Harrisonburg, VA",
Daily News-Sun,"Sun City, AZ",
Daily Nexus,"Santa Barbara, CA",Daily
Daily Nonpareil,"Council Bluffs, IA",
Daily Northwestern,"Evanston, IL",Daily
Daily O’Collegian,"Stillwater, OK",Daily
Daily Okeechobee News,"Okeechobee, FL",
Daily Oklahoman – Washington Bureau,"Washington, DC",Daily
Daily Pennsylvanian,"Philadelphia, PA",Daily
Daily Pilot,"Costa Mesa, CA",
Daily Post-Athenian,"Athens, TN",
Daily Press,"Newport News, VA",
Daily Press,"Washington, DC",
Daily Press,"Victorville, CA",
Daily Press,"Saint Marys, PA",
Daily Press,"Ashland, WI",Daily
Daily Press,"Escanaba, MI",Daily
Daily Press – Gloucester Bureau,"Hayes, VA",Daily
Daily Press – Washington Bureau,"Washington, DC",Daily
Daily Princetonian,"Princeton, NJ",Daily
Daily Progress,"Charlottesville, VA",
Daily Racing Form – Lexington Bureau,"Lexington, KY",Daily
Daily Record,"Parsippany, NJ",
Daily Record,"Ellensburg, WA",
Daily Record,"Wooster, OH",
Daily Record,"Canon City, CO",
Daily Record,"Lawrenceville, IL",
Daily Record,"Dover, NJ",
Daily Record,"Dunn, NC",
Daily Record,"Kansas City, MO",Daily
Daily Record,"Little Rock, AR",Daily
Daily Record – Orrville Bureau,"Orrville, OH",Daily
Daily Recorder,"Sacramento, CA",Daily
Daily Reflector,"Greenville, NC",
Daily Register,"Oelwein, IA",Daily
Daily Reporter,"Greenfield, IN",
Daily Reporter,"Coldwater, MI",
Daily Reporter,"Lincoln, NE",Daily
Daily Reporter,"Spencer, IA",Daily
Daily Reporter,"Derby, KS",Daily
Daily Reporter-Herald,"Loveland, CO",
Daily Republic,"Fairfield, CA",
Daily Republic,"Mitchell, SD",Daily
Daily Republican Register,"Mount Carmel, IL",Daily
Daily Review,"Hayward, CA",
Daily Review,"Morgan City, LA",
Daily Review,"Towanda, PA",Daily
Daily Review Atlas,"Monmouth, IL",Daily
Daily Rocket-Miner,"Rock Springs, WY",
Daily Sentinel,"Grand Junction, CO",
Daily Sentinel,"Pomeroy, OH",
Daily Sentinel,"Nacogdoches, TX",Daily
Daily Sentinel,"Rome, NY",Daily
Daily Sentinel,"Scottsboro, AL",Daily
Daily Sentinel Star,"Grenada, MS",Daily
Daily Siftings Herald,"Arkadelphia, AR",Daily
Daily Sitka Sentinel,"Sitka, AK",
Daily Southerner,"Tarboro, NC",Daily
Daily Southtown,"Tinley Park, IL",
Daily Sparks Tribune,"Sparks, NV",Daily
Daily Standard,"Celina, OH",
Daily Star,"Oneonta, NY",
Daily Star,"Hammond, LA",
Daily Star,"Grenada, MS",
Daily Star-Journal,"Warrensburg, MO",
Daily Statesman,"Dexter, MO",
Daily Sun,"The Villages, FL",Daily
Daily Sundial,"Northridge, CA",Daily
Daily Tar Heel,"Chapel Hill, NC",Daily
Daily Targum,"New Brunswick, NJ",Daily
Daily Telegram,"Superior, WI",
Daily Telegram,"Adrian, MI",
Daily Territorial,"Tucson, AZ",Daily
Daily Texan,"Austin, TX",Daily
Daily Tidings,"Ashland, OR",Daily
Daily Times,"Farmington, NM",
Daily Times,"Salisbury, MD",
Daily Times,"Maryville, TN",
Daily Times,"Pryor, OK",
Daily Times,"Ottawa, IL",Daily
Daily Times – Marseilles Bureau,"Marseilles, IL",Daily
Daily Times Chronicle,"Woburn, MA",
Daily Times Herald,"Carroll, IA",Daily
Daily Times Leader,"West Point, MS",Daily
Daily Times-Call,"Longmont, CO",
Daily Titan,"Fullerton, CA",Daily
Daily Transcript,"Colorado Springs, CO",Daily
Daily Tribune,"Royal Oak, MI",
Daily Tribune,"Ames, IA",Daily
Daily Tribune,"Wisconsin Rapids, WI",Daily
Daily Tribune News,"Cartersville, GA",Daily
Daily Tribune-News,"Cartersville, GA",
Daily Triplicate,"Crescent City, CA",Daily
Daily Trojan,"Los Angeles, CA",Daily
Daily Union,"Junction City, KS",Daily
Daily Union Extra,"Junction City, KS",Daily
Daily Universe,"Provo, UT",Daily
Daily Variety Gotham,"New York, NY",Daily
Daily Vidette,"Normal, IL",Daily
Daily Washington Law Reporter,"Washington, DC",Daily
Daily World,"Aberdeen, WA",
Daily World,"Helena, AR",
Daily World,"Opelousas, LA",
Dalhart Daily Texan,"Dalhart, TX",Daily
Dallas Morning News,"Dallas, TX",
Dallas Morning News,"Richardson, TX",
Dallas Morning News,"Southlake, TX",
Dallas Morning News,"Washington, DC",
Dallas Morning News,"Austin, TX",
Dallas Morning News,"Garland, TX",
Dallas Morning News – Austin Bureau,"Austin, TX",Daily
Dallas Morning News – Collin County Bureau,"Plano, TX",Daily
Dallas Morning News – Denton County Bureau,"Lewisville, TX",Daily
Dallas Morning News – Fort Worth Bureau,"Fort Worth, TX",Daily
Dallas Morning News – Garland Bureau,"Garland, TX",Daily
Dallas Morning News – Houston Bureau,"Houston, TX",Daily
Dallas Morning News – Mesquite Bureau,"Mesquite, TX",Daily
Dallas Morning News – Northeast Tarrant County Bureau,Daily,
Dallas Morning News – Northwest Bureau,"Lewisville, TX",Daily
Dallas Morning News – Oklahoma City Bureau,"Oklahoma City, OK",Daily
Dallas Morning News – Park Cities Bureau,"Richardson, TX",Daily
Dallas Morning News – Plano Bureau,"Plano, TX",Daily
Dallas Morning News – San Antonio Bureau,"San Antonio, TX",Daily
Dallas Morning News – Washington Bureau,"Washington, DC",Daily
Dallas New Era,"Dallas, GA",
Dallas Newspapers,"Wilkes-Barre, PA",
Dallas Observer,"Dallas, TX",
Dallas Post Tribune,"Dallas, TX",Weekly
Dallas Weekly,"Dallas, TX",Weekly
Dalles Chronicle,"The Dalles, OR",
Dalles Daily Chronicle,"The Dalles, OR",Daily
Danish Villages Voice,"Elk Horn, IA",
Dan’s Papers,"Bridgehampton, NY",
Danville News,"Danville, PA",Daily
Danville Register and Bee,"Danville, VA",
Danville Weekly,"Danville, CA",Weekly
Darien News-Review,"Darien, CT",
Darlington News and Press,"Darlington, SC",
Datebook [Des Moines Register],"Des Moines, IA",Daily
Datebook [San Francisco Chronicle],"San Francisco, CA",Daily
Datebook [Telegram & Gazette],"Worcester, MA",Daily
Davis Enterprise,"Davis, CA",
Day,"New London, CT",
Day,"Norwich, CT",
Day & Night Magazine [Longmont Daily Times-Call],"Longmont, CO",Daily
Dayton City Paper,"Dayton, OH",Weekly
Dayton Communicator,"Columbus, OH",Weekly
Dayton Daily News,"Dayton, OH",
Dayton Daily News,"Lebanon, OH",
Dayton Daily News,"Columbus, OH",
Dayton Daily News – Columbus Bureau,"Columbus, OH",Daily
Dayton Daily News – Warren County Bureau,"Springboro, OH",Daily
Dayton Jewish Observer,"Dayton, OH",Weekly
Daytona Beach News-Journal,"Daytona Beach, FL",Daily
Daytona Beach News-Journal – Flagler Beach Bureau,"Bunnell, FL",Daily
Daytona Beach News-Journal – New Smyrna Beach Bureau,"New Smyrna Beach, FL",Daily
Daytona Pennysaver,"Ormond Beach, FL",Weekly
Daytona Times,"Tampa, FL",
De Queen Daily Citizen,"De Queen, AR",Daily
De Soto County Tribune,"Olive Branch, MS",
De Soto Times Today,"Hernando, MS",Daily
Dearborn & Dearborn- Heritage Sunday,"Southgate, MI",Weekly
Dearborn Press & Guide,"Dearborn, MI",Weekly
Dearborn Times Herald,"Dearborn, MI",
Decatur Daily,"Decatur, AL",
Decatur Daily Democrat,"Decatur, IN",
Decatur Dispatch,"Decatur, GA",Weekly
Deerfield Beach/Lighthouse Point Observer,"Deerfield Beach, FL",Weekly
Deerfield Beach/Lighthouse Point Thursday Times,"Deerfield Beach, FL",Weekly
Dekalb Neighbor,"Atlanta, GA",Weekly
Del Mar Times,"Del Mar, CA",
Del Rio News-Herald,"Del Rio, TX",
DeLand Beacon,"Deland, FL",
Delaware Beachcomber,"Rehoboth Beach, DE",Weekly
Delaware County Daily Times,"Primos, PA",
Delaware County Daily Times,"Philadelphia, PA",
Delaware County News [Delaware Gazette],"Delaware, OH",Daily
Delaware Gazette,"Delaware, OH",
Delaware State News,"Dover, DE",
Delhi Press,"Cincinnati, OH",Weekly
Delphos Daily Herald,"Delphos, OH",
Delray Thursday Times,"Pompano Beach, FL",Weekly
Delta Democrat Times,"Greenville, MS",
Delta Democrat-Times,"Greenville, MS",Daily
Deming Headlight,"Deming, NM",
Democrat and Chronicle – Albany Bureau,"Albany, NY",Daily
Democrat and Chronicle – Washington Bureau,"Arlington, VA",Daily
"Denison Newspapers, Inc.","Denison, IA",
Denison Press,"Pottsboro, TX",
Denton Orator,"Denton, NC",
Denton Record-Chronicle,"Denton, TX",
Denver Catholic Register,"Denver, CO",Weekly
Denver Daily News,"Denver, CO",
Denver Post,"Denver, CO",
Denver Post – Colorado Springs Bureau,"Colorado Springs, CO",Daily
Denver Post – Durango Bureau,"Durango, CO",Daily
Denver Post – Fort Collins Bureau,"Fort Collins, CO",Daily
Denver Post – Silverthorne Bureau,"Silverthorne, CO",Daily
Denver Post – Washington Bureau,"Washington, DC",Daily
Der Yid,"Brooklyn, NY",Weekly
Derby Reporter,"Derby, KS",
Derrick,"Oil City, PA",
Des Moines Register,"Washington, DC",
Des Moines Register,"Des Moines, IA",
Des Moines Register – Washington Bureau,"Arlington, VA",Daily
Deseret Morning News,"Salt Lake City, UT",
Deseret Morning News,"Orem, UT",
Deseret Morning News – Utah County Bureau,"Orem, UT",Daily
Deseret Morning News – Washington Bureau,"Washington, DC",Daily
Deseret News,"Salt Lake City, UT",Daily
Desert Advocate,"Carefree, AZ",
Desert Advocate,"Cave Creek, AZ",Weekly
Desert Dispatch,"Barstow, CA",
Desert Post Weekly,"Cathedral City, CA",Weekly
Desert Sun,"Palm Springs, CA",
Desert Sun Newspapers,"Cathedral City, CA",
Desert Sun Newspapers-Bermuda Dunes,"Bermuda Dunes, CA",
DesertLeaf,"Tucson, AZ",Weekly
DeSoto Sun,"Arcadia, FL",
Destinations [Daily Oklahoman],"Oklahoma City, OK",Daily
Detroit Free Press,"Detroit, MI",
Detroit Free Press,"Washington, DC",
Detroit Free Press,"Southfield, MI",
Detroit Free Press,"Lansing, MI",
Detroit Free Press,"Mount Clemens, MI",
Detroit Free Press – Lansing Bureau,"Lansing, MI",Daily
Detroit Free Press – Macomb Bureau,"Mount Clemens, MI",Daily
Detroit Free Press – Oakland Bureau,"Southfield, MI",Daily
Detroit Free Press – Washington Bureau,"Washington, DC",Daily
Detroit Jewish News,"Southfield, MI",
Detroit Lakes Newspapers,"Detroit Lakes, MN",
Detroit Lakes Tribune,"Detroit Lakes, MN",
Detroit Monitor,"Fraser, MI",Weekly
Detroit News,"Detroit, MI",
Detroit News,"Washington, DC",
Detroit News,"Mount Clemens, MI",
Detroit News,"Livonia, MI",
Detroit News,"Lansing, MI",
Detroit News,"Saline, MI",
Detroit News,"Dearborn, MI",
Detroit News,"Birmingham, MI",
Detroit News – City-County Bureau,"Detroit, MI",Daily
Detroit News – Howell Bureau,"Howell, MI",Daily
Detroit News – Lansing Bureau,"Lansing, MI",Daily
Detroit News – Livingston County Bureau,"Howell, MI",Daily
Detroit News – Macomb County Bureau,"Mount Clemens, MI",Daily
Detroit News – Oakland County Bureau,"Birmingham, MI",Daily
Detroit News – Plymouth Bureau,"Plymouth, MI",Daily
Detroit News – Washington Bureau,"Washington, DC",Daily
Detroit News – Western-Wayne Bureau,"Dearborn, MI",Daily
Devils Lake Daily Journal,"Devils Lake, ND",Daily
Devils Lake Journal,"Devils Lake, ND",
Dialog,"Wilmington, DE",
Diamondback,"College Park, MD",Daily
Diario La Estrella-Dallas,"Dallas, TX",Daily
Diario Las Americas,"Miami, FL",
Diario Latino,"Chula Vista, CA",Daily
Dickinson Press,"Dickinson, ND",Daily
Dickson Herald,"Dickson, TN",Weekly
Digs [Florida Times-Union],"Jacksonville, FL",Daily
Dillon Tribune,"Dillon, MT",
Dining Etc. [San Antonio Express-News],"San Antonio, TX",Daily
Dining Guide [Houston Chronicle],"Houston, TX",Daily
"Dining In, Dining Out [New York Times]","New York, NY",Daily
Discovery [St. Petersburg Times],"Saint Petersburg, FL",Daily
Dispatch,"Lexington, NC",
Dispatch,"Gilroy, CA",
Dispatch,"Rock Island, IL",
Dispatch,"Moline, IL",Weekly
Dispatch – Geneseo Bureau,"Geneseo, IL",Daily
Diversions [Savannah Morning News],"Savannah, GA",Daily
Dodge City Daily Globe,"Dodge City, KS",
Dollars & Sense [Herald Journal],"Monticello, IN",Daily
Dolphin,"Groton, CT",Weekly
Dominion Post,"Morgantown, WV",
Door County Advocate,"Sturgeon Bay, WI",
Dos Mundos,"Kansas City, MO",Weekly
Dos Mundos Bilingual Newspaper,"Kansas City, MO",Weekly
Dothan Eagle,"Dothan, AL",
Dothan Progress,"Dothan, AL",Weekly
Douglas Budget,"Douglas, WY",
Douglas County Sentinel,"Douglasville, GA",
Douglas Neighbor,"Douglasville, GA",Weekly
Dover Post,"Dover, DE",Weekly
Dover-Sherborn Press,"Framingham, MA",
Dowagiac Daily News,"Dowagiac, MI",
Down Towner,"Dayton, OH",Weekly
Downey Herald American,"Los Angeles, CA",Weekly
Downey Patriot,"Downey, CA",Weekly
Downingtown/Exton Community Courier,"Mount Joy, PA",Weekly
Downtown Express,"New York, NY",Weekly
Downtown Gazette,"Long Beach, CA",Weekly
Downtown Resident,"New York, NY",Weekly
Draugas,"Chicago, IL",Daily
DriveTime [Oregonian],"Portland, OR",Daily
DriveWays [Palm Beach Post],"West Palm Beach, FL",Daily
Driving [Plain Dealer],"Cleveland, OH",Daily
Driving [Press-Enterprise – Metro Edition],"Riverside, CA",Daily
Drummer,"Buffalo, MN",Weekly
Drummer,"Batavia, NY",Weekly
Du Quoin Evening Call,"Du Quoin, IL",
Dublin Citizen,"Dublin, TX",
Dublin Villager,"Worthington, OH",Weekly
DuBois-Spencer Counties Publishing,"Ferdinand, IN",
Duluth Budgeteer News,"Duluth, MN",
Duluth News-Tribune,"Duluth, MN",
Duncan Banner,"Duncan, OK",
Dundalk Eagle,"Dundalk, MD",Weekly
Dunn County News,"Menomonie, WI",
Dunwoody Crier,"Atlanta, GA",
Durango Herald,"Durango, CO",
Durant Daily Democrat,"Durant, OK",Daily
Durochers Oklahoma City Business,"Oklahoma City, OK",Daily
Dziennik Chicagowski (Chicago Daily),"Chicago, IL",Weekly
E & T [Charlotte Observer],"Charlotte, NC",Daily
e Daily News,"Bogalusa, LA",Daily
e Personal Technology [Asbury Park Press],"Neptune, NJ",Daily
e/Tech [Detroit News],"Detroit, MI",Daily
Eagle,"Bryan, TX",
Eagle Herald,"Marinette, WI",
Eagle Times,"Claremont, NH",
Eagle-Times,"Claremont, NH",Daily
Eagle-Tribune,"North Andover, MA",
Early Bird,"Greenville, OH",Weekly
East Bay Express,"Emeryville, CA",
East Bay Newspapers – Tiverton,"Tiverton, RI",
East Cobb Neighbor,"Marietta, GA",Weekly
East County Californian,"El Cajon, CA",Daily
East County Observer,"Bradenton, FL",Weekly
East County Times,"Antioch, CA",
East County Times,"Essex, MD",Daily
East Grand Rapids/Cadence Advance,"Grand Rapids, MI",Weekly
East Hampton Independent,"East Hampton, NY",Weekly
East Hampton Star,"East Hampton, NY",
East Hartford Gazette,"East Hartford, CT",
East Haven Courier,"Madison, CT",
East Memphis Shoppers News,"Memphis, TN",Weekly
East Mesa Independent,"Apache Junction, AZ",Weekly
East Montgomery County Observer & Sun,"Porter, TX",Weekly
East Oregonian,"Pendleton, OR",
East Penn Valley Merchandiser,"Hamburg, PA",Weekly
East Shore Shopper,"Mount Joy, PA",Weekly
East Side Review,"North Saint Paul, MN",Weekly
East Valley Tribune,"Mesa, AZ",
Eastern Middlesex Press Publications,"Malden, MA",
Eastern Wake News,"Zebulon, NC",
Eastside Advertiser Times,"Warren, MI",Weekly
Eastside Messenger,"Columbus, OH",Weekly
Eastsider,"Warren, MI",
Easy Reader,"Hermosa Beach, CA",Weekly
Echo Press,"Alexandria, MN",
"ECM Publishers, Inc.","Saint Paul, MN",
Eden Daily News,"Eden, NC",Daily
Edgeley Mail,"Edgeley, ND",
Edibles [Post-Tribune],"Merrillville, IN",Daily
Edina Sun-Current,"Eden Prairie, MN",Weekly
Edinburg Daily Review,"Edinburg, TX",Daily
Editorial [Mount Pleasant News],"Mount Pleasant, IA",Daily
Edmond Sun,"Edmond, OK",
Edmonton Journal,"Edmonton, AB",
Education [Boston Globe],"Boston, MA",Daily
Education [Mount Pleasant News],"Mount Pleasant, IA",Daily
Education [Northwest Arkansas Times],"Fayetteville, AR",Daily
Edwardsville Intelligencer,"Edwardsville, IL",
Effingham Daily News,"Effingham, IL",Daily
Effingham Now,"Rincon, GA",
Ekalaka Eagle,"Ekalaka, MT",
El Bohemio News,"San Francisco, CA",Weekly
El Campo Leader-News,"El Campo, TX",
El Cerrito Journal,"Alameda, CA",
El Clasificado,"Los Angeles, CA",
El Dia,"Houston, TX",Daily
El Dia Newspaper,"Cicero, IL",Weekly
El Diario de El Paso,"El Paso, TX",Daily
El Diario la Prensa,"New York, NY",Daily
El Diario/La Prensa,"New York, NY",
El Dorado News-Times,"El Dorado, AR",
El Dorado Times,"El Dorado, KS",
El Eco de Virginia,"Norfolk, VA",Weekly
El Especial,"Miami, FL",Weekly
El Extra,"Dallas, TX",Weekly
El Heraldo Catolico,"Sacramento, CA",Weekly
El Hispanic News,"Portland, OR",
El Hispano,"Sacramento, CA",Weekly
El Hispano,"Upper Darby, PA",Weekly
El Hispano News,"Dallas, TX",Weekly
El Imparcial,"Cicero, IL",Weekly
